damage_key,name,h,SCC,p_gross,MIU,eps,nu,w_nu,Delta,r,ratio
hs_central,Howard-Sterner Central,0.01,86.40067078845469,64.12156479704291,0.24,1.37625,69.43266317830421,19.665667620634732,22.279105991411782,2.6134383707770503,1.1328934476668786
hs_central,Howard-Sterner Central,0.005,86.40067078845469,64.12156479704291,0.24,1.37625,73.29556087497622,20.759770290442802,22.279105991411782,1.5193357009689805,1.073186537216572
hs_central,Howard-Sterner Central,0.002,86.40067078845469,64.12156479704291,0.24,1.37625,75.59808742371388,21.411923322206547,22.279105991411782,0.8671826692052349,1.0404999894757643
kahn,Kahn et al. (2021),0.01,91.57028306718333,64.12156479703496,0.2399999999999814,1.37625,86.88057721592486,24.592756264550548,27.448718270148362,2.8559620055978137,1.1161302122818404
kahn,Kahn et al. (2021),0.005,91.57028306718333,64.12156479703496,0.2399999999999814,1.37625,90.74846638832241,25.687616113819963,27.448718270148362,1.7611021563283984,1.0685584115133566
kahn,Kahn et al. (2021),0.002,91.57028306718333,64.12156479703496,0.2399999999999814,1.37625,93.05396155104972,26.34021859901225,27.448718270148362,1.1084996711361121,1.0420839207149815
hs_high,Howard-Sterner High,0.01,157.52612779467813,64.12156479704291,0.24,1.37625,309.99446126515977,87.0947102453771,93.40456299763522,6.309852752258124,1.0724481743435508
hs_high,Howard-Sterner High,0.005,157.52612779467813,64.12156479704291,0.24,1.37625,313.9258895535022,88.19926742432223,93.40456299763522,5.205295573312995,1.059017446803391
hs_high,Howard-Sterner High,0.002,157.52612779467813,64.12156479704291,0.24,1.37625,316.2694024213124,88.85769071790378,93.40456299763522,4.546872279731446,1.0511702728598518
nordhaus_2023,Nordhaus DICE-2023,0.01,60.93849303232329,61.66996451504006,0.23422310459611417,1.37625,1.1641532182693481e-07,3.3062001937229865e-08,-0.7314714827167705,-0.7314715157787725,-22124234.46425028
dietz_stern,Dietz-Stern (2015),0.01,45.202839539951356,46.362366094548314,0.19596890529333688,1.37625,5.2386894822120667e-08,1.490265388536865e-08,-1.1595265545969582,-1.159526569499612,-77806715.73775028
