metric,total_ss,damage_ss,ecs_ss,interaction_ss,damage_pct,ecs_pct,interaction_pct,check_pct
SCC_2025,90000.15270266759,38180.22785730152,41192.584552457396,10627.340292908659,42.4224,45.7695,11.8081,100.0
SCC_2030,120789.5811329117,50427.81653947603,56655.74265142449,13706.021942011206,41.7485,46.9045,11.347,100.0
SCC_2050,324963.5284254183,133865.86542344323,158291.18234329735,32806.48065867771,41.1941,48.7104,10.0954,100.0
SCC_2100,2562164.948752181,1087540.5983013283,1184277.4389741179,290346.9114767358,42.4462,46.2217,11.3321,100.0
T_2100,3.49596343420601,1.3203620510952045,2.061356988398499,0.11424439471230846,37.7682,58.9639,3.2679,100.0
welfare,200786.13809390206,100128.90799191379,88933.02857875153,11724.201523236794,49.8684,44.2924,5.8391,100.0
